[186, 109, 0, 93]
[7, 5, 1, 0]
[7, 6, 9, 4]
[7, 6, 1, 4]
[7, 8, 6, 3]
[7, 8, 14, 3]
[7, 9, 6, 1]
[7, 9, 14, 1]
[7, 10, 6, 6]
[7, 10, 14, 6]
[7, 11, 5, 8]
[7, 11, 13, 8]
[7, 13, 4, 13]
[7, 13, 12, 13]
[7, 0, 4, 15]
[7, 0, 12, 15]
[7, 1, 8, 13]
[7, 1, 0, 13]
[8, 5, 5, 0]
[8, 5, 7, 1]
[8, 5, 13, 0]
[8, 5, 15, 1]
[8, 6, 3, 11]
[8, 6, 11, 11]
[8, 11, 4, 1]
[8, 11, 7, 2]
[8, 11, 12, 1]
[8, 11, 15, 2]
[8, 12, 3, 7]
[8, 12, 11, 7]
[8, 14, 4, 10]
[8, 14, 12, 10]
[8, 1, 5, 13]
[8, 1, 13, 13]
[8, 2, 8, 1]
[8, 2, 0, 1]
[9, 4, 7, 3]
[9, 4, 15, 3]
[9, 9, 7, 15]
[9, 9, 15, 15]
[9, 10, 7, 10]
[9, 10, 15, 10]
[9, 11, 4, 14]
[9, 11, 5, 14]
[9, 11, 12, 14]
[9, 11, 13, 14]
[9, 12, 4, 1]
[9, 12, 4, 13]
[9, 12, 12, 1]
[9, 12, 12, 13]
[9, 0, 8, 9]
[9, 0, 0, 9]
[9, 3, 9, 5]
[9, 3, 1, 5]
[10, 5, 4, 6]
[10, 5, 12, 6]
[10, 7, 6, 15]
[10, 7, 9, 5]
[10, 7, 14, 15]
[10, 7, 1, 5]
[10, 12, 4, 7]
[10, 12, 12, 7]
[10, 13, 5, 0]
[10, 13, 8, 13]
[10, 13, 13, 0]
[10, 13, 0, 13]
[10, 15, 3, 9]
[10, 15, 4, 9]
[10, 15, 11, 9]
[10, 15, 12, 9]
[10, 2, 3, 4]
[10, 2, 3, 12]
[10, 2, 11, 4]
[10, 2, 11, 12]
[11, 4, 3, 14]
[11, 4, 11, 14]
[11, 5, 5, 4]
[11, 5, 6, 7]
[11, 5, 13, 4]
[11, 5, 14, 7]
[11, 6, 4, 3]
[11, 6, 12, 3]
[11, 8, 7, 9]
[11, 8, 15, 9]
[11, 10, 5, 6]
[11, 10, 13, 6]
[11, 15, 5, 11]
[11, 15, 9, 4]
[11, 15, 13, 11]
[11, 15, 1, 4]
[11, 2, 9, 9]
[11, 2, 1, 9]
[11, 3, 5, 7]
[11, 3, 13, 7]
[12, 5, 9, 8]
[12, 5, 1, 8]
[12, 6, 2, 12]
[12, 6, 5, 6]
[12, 6, 10, 12]
[12, 6, 13, 6]
[12, 7, 9, 11]
[12, 7, 1, 11]
[12, 8, 7, 8]
[12, 8, 15, 8]
[12, 11, 7, 7]
[12, 11, 15, 7]
[12, 12, 2, 15]
[12, 12, 10, 15]
[12, 15, 9, 8]
[12, 15, 1, 8]
[12, 0, 3, 13]
[12, 0, 11, 13]
[12, 1, 6, 6]
[12, 1, 8, 0]
[12, 1, 14, 6]
[12, 1, 0, 0]
[12, 2, 6, 0]
[12, 2, 14, 0]
[13, 4, 4, 0]
[13, 4, 9, 1]
[13, 4, 12, 0]
[13, 4, 1, 1]
[13, 6, 5, 9]
[13, 6, 13, 9]
[13, 11, 9, 8]
[13, 11, 9, 14]
[13, 11, 1, 8]
[13, 11, 1, 14]
[13, 14, 8, 14]
[13, 14, 0, 14]
[13, 15, 4, 1]
[13, 15, 12, 1]
[13, 0, 3, 4]
[13, 0, 11, 4]
[13, 3, 5, 8]
[13, 3, 13, 8]
[14, 6, 2, 10]
[14, 6, 10, 10]
[14, 7, 7, 14]
[14, 7, 15, 14]
[14, 8, 9, 8]
[14, 8, 1, 8]
[14, 9, 2, 6]
[14, 9, 10, 6]
[14, 11, 3, 9]
[14, 11, 11, 9]
[14, 13, 3, 10]
[14, 13, 4, 14]
[14, 13, 11, 10]
[14, 13, 12, 14]
[14, 15, 4, 9]
[14, 15, 12, 9]
[14, 1, 4, 13]
[14, 1, 12, 13]
[14, 2, 8, 10]
[14, 2, 0, 10]
[14, 3, 5, 6]
[14, 3, 13, 6]
[15, 5, 4, 5]
[15, 5, 12, 5]
[15, 8, 4, 7]
[15, 8, 12, 7]
[15, 9, 8, 5]
[15, 9, 0, 5]
[15, 13, 9, 8]
[15, 13, 1, 8]
[15, 14, 9, 12]
[15, 14, 1, 12]
[15, 0, 6, 11]
[15, 0, 14, 11]
[15, 1, 6, 9]
[15, 1, 14, 9]
[15, 2, 6, 14]
[15, 2, 14, 14]
[15, 3, 5, 0]
[15, 3, 13, 0]
